movie_id,genre
tt10411954,Thriller
tt10419266,Action
tt10419266,Adventure
tt10431010,Drama
tt10431500,Drama
tt10438658,Comedy
tt10438658,Drama
tt10443252,Crime
tt10443252,Drama
tt10443252,Thriller
tt10443808,Action
tt10443808,Drama
tt10444252,Drama
tt10444252,Mystery
tt10444252,Thriller
tt10452466,Romance
tt10495746,Drama
tt10495746,Family
tt10495912,Drama
tt10495912,Family
tt10495912,Romance
tt10497826,Action
tt10497826,Thriller
tt10498810,Horror
tt10498810,Mystery
tt10498810,Thriller
tt10503934,Action
tt10503934,Adventure
tt10503934,Drama
tt10504752,Comedy
tt10504928,Others
tt10510654,Action
tt10510654,Drama
tt10514532,Horror
tt10515086,Drama
tt10515086,Horror
tt10515086,Mystery
tt10515340,Horror
tt10518924,Comedy
tt10518924,Drama
tt10519182,Comedy
tt10519182,Drama
tt10521814,Fantasy
tt10521814,Horror
tt10540024,Drama
tt10545040,Crime
tt10545040,Mystery
tt10545040,Thriller
tt10545470,Drama
tt10545484,Crime
tt10545484,Drama
tt10545484,Thriller
tt10550884,Action
tt10550884,Horror
tt10550884,Thriller
tt10551118,Action
tt10551118,Adventure
tt10551118,Comedy
tt10551420,Drama
tt10551450,Drama
tt10551450,Romance
tt10551608,Comedy
tt10551608,Romance
tt10556036,Drama
tt10556036,Thriller
tt10579992,Comedy
tt10581102,Horror
tt10581102,Sci-Fi
tt10585038,Horror
tt10589914,Crime
tt10589914,Horror
tt10589914,Thriller
tt10592082,Romance
tt10592506,Drama
tt10602172,Drama
tt10604464,Horror
tt10608842,Comedy
tt10608842,Horror
tt10622790,Comedy
tt10622790,Drama
tt10622790,Romance
tt10623524,Comedy
tt10623524,Drama
tt10627720,Fantasy
tt10627720,Thriller
tt10643938,Drama
tt10648440,Action
tt10648440,Comedy
tt10651188,Thriller
tt10656188,Horror
tt10656188,Mystery
tt10656188,Thriller
tt10656240,Comedy
tt10656240,Drama
tt10658960,Horror
tt10659288,Horror
tt10671436,Thriller
tt10675136,Horror
tt10675966,Drama
tt10676902,Comedy
tt10676902,Drama
tt10676902,Romance
tt10682000,Others
tt10687168,Others
tt10695638,Drama
tt10695638,Romance
tt10696882,Comedy
tt10696882,Crime
tt10696882,Drama
tt10702760,Comedy
tt10709404,Action
tt10709404,Comedy
tt10709404,Drama
tt10711648,Comedy
tt10715194,Comedy
tt10715974,Drama
tt10726604,Action
tt10726604,Crime
tt10726756,Comedy
tt10726756,Drama
tt1072748,Drama
tt1072748,Fantasy
tt10731866,Drama
tt10734928,Action
tt10734928,Adventure
tt10738914,Drama
tt10763618,Drama
tt10763618,Romance
tt10763826,Action
tt10764458,Comedy
tt10765852,Others
tt10767168,Drama
tt10767168,Horror
tt10767168,Thriller
tt10767426,Drama
tt10767426,Thriller
tt10768678,Comedy
tt10768678,Drama
tt10783920,Comedy
tt10800758,Horror
tt10800758,Thriller
tt10805432,Horror
tt10805432,Thriller
tt10815982,Action
tt10815982,Drama
tt10816510,Crime
tt10816510,Drama
tt10816510,Romance
tt1082807,Horror
tt1082807,Thriller
tt10834986,Action
tt10860558,Drama
tt10864024,Drama
tt10867504,Drama
tt10869474,Action
tt10869474,Crime
tt10869474,Thriller
tt10883272,Drama
tt10883506,Crime
tt10883506,Drama
tt10885124,Comedy
tt10895780,Drama
tt10895780,Romance
tt10895830,Comedy
tt10901588,Drama
tt10914342,Drama
tt10927122,Comedy
tt10927122,Horror
tt10944714,Action
tt10944714,Thriller
tt10958282,Crime
tt10975452,Comedy
tt10975452,Horror
tt10975452,Thriller
tt10984586,Thriller
tt11006522,Drama
tt11020466,Comedy
tt11027104,Comedy
tt11041136,Drama
tt11041754,Comedy
tt11046300,Comedy
tt11062388,Others
tt11066130,Drama
tt11110904,Comedy
tt11110904,Horror
tt11134856,Drama
tt11163028,Comedy
tt11238648,Comedy
tt1127881,Drama
tt1131724,Thriller
tt1131728,Comedy
tt1131728,Romance
tt1134664,Comedy
tt1134664,Drama
tt1137450,Action
tt1137450,Crime
tt1137450,Drama
tt1139592,Action
tt1139592,Horror
tt1139592,Mystery
tt1148205,Drama
tt1158939,Drama
tt1183352,Adventure
tt1194238,Crime
tt1194238,Drama
tt1194606,Crime
tt1194606,Drama
tt1194606,Mystery
tt1206885,Action
tt1206885,Adventure
tt1206885,Thriller
tt1212428,Drama
tt1213641,Drama
tt1219827,Action
tt1219827,Drama
tt1219827,Sci-Fi
tt1225856,Drama
tt1225856,Thriller
tt1226837,Drama
tt1227927,Sci-Fi
tt1227927,Thriller
tt1230168,Drama
tt1235187,Drama
tt1235187,Romance
tt1241317,Adventure
tt1241317,Crime
tt1241317,Drama
tt1249439,Thriller
tt1253859,Action
tt1253859,Fantasy
tt1255919,Comedy
tt1255919,Crime
tt1255919,Mystery
tt1259528,Action
tt1259528,Crime
tt1259528,Drama
tt1270797,Action
tt1270797,Sci-Fi
tt1270797,Thriller
tt1272016,Drama
tt1272016,Family
tt1273221,Crime
tt1273221,Mystery
tt1273221,Thriller
tt1281966,Action
tt1281966,Drama
tt1285009,Horror
tt1286146,Action
tt1286146,Crime
tt1286146,Drama
tt1288367,Comedy
tt1288367,Romance
tt1289403,Drama
tt1289403,Romance
tt1291566,Drama
tt1291566,Mystery
tt1291566,Romance
tt1293847,Action
tt1293847,Adventure
tt1293847,Thriller
tt1298644,Comedy
tt1298644,Crime
tt1301178,Drama
tt1302006,Crime
tt1302006,Drama
tt1308728,Action
tt1308728,Comedy
tt1308728,Crime
tt1318517,Adventure
tt1318517,Comedy
tt1318517,Drama
tt1330018,Drama
